comment;
",’’mas’ ’ quando pergunto algo pra ela sempre aparece um resultado";
",mais tô tendo proble";
"‘‘mas’ ’ , deixou de funcionar a principal parte (comando de voz, ok, Google)[.]";
‘‘mas’ ’ agora trava muito e não funciona às vezes;
‘‘mas’ ’ ainda faltam recursos da sua versão em inglês;
‘‘mas’ ’ ainda muito das mãos para continuidade das tarefas;
‘‘mas’ ’ as vezes vai direto para o Google normal;
‘‘mas’ ’ as vezes você pede pra tocar uma musica no you tube ele nao toca sozinho fica com a tela do you tube parada e as vezes eu tenho[.];
‘‘mas’ ’ cadê o deezer nas opções de musicas[.];
‘‘mas’ ’ de um tempo desse para cá não responde mais a minha voz[.];
‘‘mas’ ’ de vez em quando dá falha mim da uma decepção muito grande;
"‘‘mas’ ’ do nada parou de funcionar no meu idioma no meu moto G7 power, ajeitem isso urgente!";
‘‘mas’ ’ é bastante lento e trava com frequência[.][.];
"‘‘mas’ ’ ela não responde quando a tela está desligada e quando está tocando uma música, por favor resolvam isso!!";
"‘‘mas’ ’ ele e impossível de ser utilizado no meu dispositivo, meu celular tem tdo q pediu e n quer abrir essa desgrama poderia arrumar isso, ja basta o Google play services q e inutiu e gasta mem…";
‘‘mas’ ’ ele mandou e respondeu a imagens minhas sem permissão minha;
‘‘mas’ ’ ele não é adaptável ao meu dispositivo Moto C2 (Motorola)[.];
‘‘mas’ ’ ele tem que trabalhar sem segundo plano porque as vezes estou lendo por exemplo o endereço do local[.];
"‘‘mas’ ’ estou com um probleminha, quando vou ativar o app eu não to consigo ativar o reconhecimento de voz, eu vou lá e não me ouve[.]";
"‘‘mas’ ’ eu estou a tempos tentando cadastrar meu endereço do trabalho e não salva, já desinstalei e reinstalei mil vezes e nada";
‘‘mas’ ’ eu estou dando só 3 estrelas pq (o meu cell motorola g plus)[.];
‘‘mas’ ’ eu não consigo açeçar as configurações do app pq meu android nao está na versão q pode açeçar o app tem que deixar o app disponível para todos os dispositivos;
‘‘mas’ ’ eu não consigo ativar o modo de voz altomatica;
"‘‘mas’ ’ há 3 dias (provavelmente depois de um update), o ok Google não me informa mais as horas ou que dia é quando o Cel é acionado com a tela bloqueada (desligada)[.]";
‘‘mas’ ’ logonque chamo o assisitente ja nao consigo ler mais[.];
‘‘mas’ ’ meu celular é um A3 android e eu não consigo usar ressolvão isso eu queria muito ussar o app ‘‘mas’ ’ vcs obrigam a gente a ter celular caro e bom com bastante GB e bastante memoria [.];
"‘‘mas’ ’ meu dispositivo possui os requisitos necessários e ‘ainda assim’ diz que eu preciso de algo, não estou conformando-me com essa condição ‘‘mas’ ’ confio que isso irá mudar[.]";
‘‘mas’ ’ na linha Z da Motorola o aplicativo não responde bem aos comando quando hiberna[;
‘‘mas’ ’ não consegui arrumar um atalho para vim avaliar esse app;
"‘‘mas’ ’ não estou conseguindo configurarar ele para ela ser o app padrão, ‘‘mas’ ’ não sei se isso é erro do meu celular o de vocês";
"‘‘mas’ ’ não funciona com facilidade e praticidade, achei desorganizado e complexo[.]";
‘‘mas’ ’ nao quis entrar no meu celular;
‘‘mas’ ’ não sei o problema ‘‘mas’ ’ não quer abrir no meu dispositivo eletrônico[.];
"‘‘mas’ ’ no meu aparelho MOTO G6 2 geração, ele desabilita várias vezes[.]";
‘‘mas’ ’ o leitor de texto de mensagem não consigo fixar o idioma português altera para o inglês mesmo suspenso a detecção do idioma!! Acho que na configuração deveria ter opção tb do idioma e não ser automático !!;
‘‘mas’ ’ o reconhecimento de fala offline ainda nao conseguir;
‘‘mas’ ’ pode melhorar[.];
‘‘mas’ ’ podia dar para colocar nome na Google assistente né Por favor façam isso vai ser o melhor aplicativo do planeta ‘‘mas’ ’ tirando isso está tudo ótimo?;
‘‘mas’ ’ podia entender mais rápido e podia parecer mais com a siri real ‘‘mas’ ’ para quem não tem a siri esse App está maravilhoso eu aprovo;
‘‘mas’ ’ por hora só queria deixar no silencioso[.];
‘‘mas’ ’ quando o aplicativo é aberto aparece a mensagem com o erro: O Google Assistente não está disponível neste dispositivo[.];
‘‘mas’ ’ quando tento dizer ok google de longe ele nao ouve[.];
‘‘mas’ ’ que diabos aconteceu com esse App? Ele sempre fala que não tem conexão com internet [.];
‘‘mas’ ’ recentemente parece que deu uma emburrecida[.];
‘‘mas’ ’ recentemente parou de funcionar e não importa o que eu faça não funciona[.]”;
‘‘mas’ ’ se eu digitar onde EDITOU retorna a minha localização[.];
‘‘mas’ ’ só falta acrescentar mais diálogos[.];
‘‘mas’ ’ só funciona com Internet;
‘‘mas’ ’ tem essa falha grave de abrir o comando com qualquer voz parecida[.];
"‘‘mas’ ’ tem um pequeno problema quando falo em inglês as vezes ela entende, ‘‘mas’ ’ outras vezes ela escuta uma coisa totalmente diferente é eu já troquei de idioma e continua a mesma coisa, consertem isso, eu acho esse app incrível[.];;";
‘‘mas’ ’ você tem que melhorar porque quando eu estou jogando ela ativa sozinho sem eu falar nada;
"‘entretanto’ , falar ok Google é inconvenientemente grande de mais, chato de mais[.]";
‘mas’ ’ ele precisa melhora só um pouco ‘‘mas’ ’ obrigada;
‘mas’ ’ n e disponivel para todos os androids;
‘mesmo assim’ não consigo instalar o Google assistente[.];
"‘porem’ , com a tela desligada simplesmente não funciona o que seria muito bom para pular faixar e ligações sem ter a necessidade pegar o celular[.]";
"‘porém’ , não entendo ainda pq a análise de tela não funciona direito[.]";
‘porem’ contem alguns erros que se fossem resovidos o app seria ainda melhor espero que leiam meu comentário e entrem em contato comigo ja e a terceira vez que informo sobre erros no app e nada de resolverem;
"‘porém’ está bem atrás da concorrência, o reconhecimento de música nunca funciona ( e olha que muitos desenvolvedores autônomos já disponibilizam isso em sites por aí e a Google não) e não tem uma conversa tão fluida quanto a siri por exemplo[.]";
‘porém’ falta um pouco mais de contato com aplicativos de terceiros;
‘porém’ funciona se eu precionar o Butão home[.];
"‘porém’ meu celular é moto c plus, está todo atualizado ‘porém’ informar que ele não suporta[.]";
‘porém’ n consigo ativar o ok Google te vez q tento ele só fica pedindo pra falar e n reconhece[.];
‘porém’ não estou conseguindo colocar o alarme sempre dá falha;
